Year,Age,Wt
2012,9,2.974
2012,10,3.9
2012,over7,2.259
2013,0,0.177
2013,1,0.302
2013,2,0.543
2013,3,0.791
2013,4,1.058
2013,5,1.503
2013,6,1.943
2013,7,2.071
2013,8,2.449
2013,9,2.798
2013,10,2.802
2013,over7,2.319
2014,0,0.189
2014,1,0.367
2014,2,0.608
2014,3,0.823
2014,4,1.06
2014,5,1.428
2014,6,1.796
2014,7,2.217
2014,8,2.63
2014,9,2.495
2014,10,2.564
2014,over7,2.399
2015,0,0.18
2015,1,0.348
2015,2,0.63
2015,3,0.815
2015,4,1.005
2015,5,1.288
2015,6,1.451
2015,7,1.641
2015,8,1.701
2015,9,2.249
2015,10,2.49
2015,over7,1.82
2016,0,0.083
2016,1,0.343
2016,2,0.688
2016,3,0.834
2016,4,1.096
2016,5,1.311
2016,6,1.437
2016,7,1.503
2016,8,1.818
2016,9,2.054
2016,10,2.456
2016,over7,1.687
2017,0,0.11
2017,1,0.428
2017,2,0.695
2017,3,0.905
2017,4,1.048
2017,5,1.299
2017,6,1.404
2017,7,1.635
2017,8,1.516
2017,9,1.398
2017,10,2
2017,over7,1.597
