haulid,lengthclass,sppLatin,numlengthclass,year,latitudestart,longitudestart
p05901455324,adult,balistes capriscus,1,1990,32.79,-78.64
p05901455324,largejuv,balistes capriscus,1,1990,32.79,-78.64
p05901455324,smalljuv,balistes capriscus,2,1990,32.79,-78.64
p05911409324,adult,balistes capriscus,0,1991,32.79,-78.65
p05911409324,largejuv,balistes capriscus,0,1991,32.79,-78.65
p05911409324,smalljuv,balistes capriscus,1,1991,32.79,-78.65
p05930368324,adult,balistes capriscus,0,1993,32.25,-79.71
p05930368324,largejuv,balistes capriscus,0,1993,32.25,-79.71
p05930368324,smalljuv,balistes capriscus,1,1993,32.25,-79.71
p05930377324,adult,balistes capriscus,1,1993,32.25,-79.7
p05930377324,largejuv,balistes capriscus,0,1993,32.25,-79.7
p05930377324,smalljuv,balistes capriscus,1,1993,32.25,-79.7
p05930384324,adult,balistes capriscus,0,1993,32.25,-79.7
p05930384324,largejuv,balistes capriscus,0,1993,32.25,-79.7
p05930384324,smalljuv,balistes capriscus,1,1993,32.25,-79.7
p05940210324,adult,balistes capriscus,2,1994,32.79,-78.64
p05940210324,largejuv,balistes capriscus,0,1994,32.79,-78.64
p05940210324,smalljuv,balistes capriscus,1,1994,32.79,-78.64
p05950161324,adult,balistes capriscus,1,1995,32.25,-79.69
p05950161324,largejuv,balistes capriscus,1,1995,32.25,-79.69
p05950161324,smalljuv,balistes capriscus,1,1995,32.25,-79.69
p05950284324,adult,balistes capriscus,1,1995,31.42,-80.37
p05950284324,largejuv,balistes capriscus,2,1995,31.42,-80.37
p05950284324,smalljuv,balistes capriscus,1,1995,31.42,-80.37
p05950286324,adult,balistes capriscus,3,1995,31.42,-80.37
p05950286324,largejuv,balistes capriscus,5,1995,31.42,-80.37
p05950286324,smalljuv,balistes capriscus,1,1995,31.42,-80.37
p05950295324,adult,balistes capriscus,6,1995,31.43,-80.36
p05950295324,largejuv,balistes capriscus,2,1995,31.43,-80.36
p05950295324,smalljuv,balistes capriscus,1,1995,31.43,-80.36
p05960533324,adult,balistes capriscus,2,1996,32.33,-79.21
p05960533324,largejuv,balistes capriscus,0,1996,32.33,-79.21
p05960533324,smalljuv,balistes capriscus,1,1996,32.33,-79.21
p05971614324,adult,balistes capriscus,3,1997,31.69,-80.34
p05971614324,largejuv,balistes capriscus,0,1997,31.69,-80.34
p05971614324,smalljuv,balistes capriscus,1,1997,31.69,-80.34
p05060074324,adult,balistes capriscus,0,2006,27.45,-80.07
p05060074324,largejuv,balistes capriscus,0,2006,27.45,-80.07
p05060074324,smalljuv,balistes capriscus,1,2006,27.45,-80.07
p05911013324,adult,balistes capriscus,1,1991,32.51,-79.7
p05911013324,largejuv,balistes capriscus,2,1991,32.51,-79.7
p05911013324,smalljuv,balistes capriscus,0,1991,32.51,-79.7
p05911250324,adult,balistes capriscus,1,1991,31.68,-80.32
p05911250324,largejuv,balistes capriscus,6,1991,31.68,-80.32
p05911250324,smalljuv,balistes capriscus,0,1991,31.68,-80.32
p05911308324,adult,balistes capriscus,1,1991,32.26,-79.7
p05911308324,largejuv,balistes capriscus,1,1991,32.26,-79.7
p05911308324,smalljuv,balistes capriscus,0,1991,32.26,-79.7
p05911321324,adult,balistes capriscus,1,1991,32.25,-79.71
p05911321324,largejuv,balistes capriscus,7,1991,32.25,-79.71
p05911321324,smalljuv,balistes capriscus,0,1991,32.25,-79.71
p05911324324,adult,balistes capriscus,0,1991,32.25,-79.7
p05911324324,largejuv,balistes capriscus,3,1991,32.25,-79.7
p05911324324,smalljuv,balistes capriscus,0,1991,32.25,-79.7
p05911331324,adult,balistes capriscus,0,1991,32.26,-79.69
p05911331324,largejuv,balistes capriscus,2,1991,32.26,-79.69
p05911331324,smalljuv,balistes capriscus,0,1991,32.26,-79.69
p05911387324,adult,balistes capriscus,2,1991,32.25,-79.7
p05911387324,largejuv,balistes capriscus,5,1991,32.25,-79.7
p05911387324,smalljuv,balistes capriscus,0,1991,32.25,-79.7
p05911392324,adult,balistes capriscus,4,1991,32.25,-79.7
p05911392324,largejuv,balistes capriscus,7,1991,32.25,-79.7
p05911392324,smalljuv,balistes capriscus,0,1991,32.25,-79.7
p05911399324,adult,balistes capriscus,6,1991,32.24,-79.7
p05911399324,largejuv,balistes capriscus,6,1991,32.24,-79.7
p05911399324,smalljuv,balistes capriscus,0,1991,32.24,-79.7
p05921197324,adult,balistes capriscus,1,1992,32.79,-78.65
p05921197324,largejuv,balistes capriscus,1,1992,32.79,-78.65
p05921197324,smalljuv,balistes capriscus,0,1992,32.79,-78.65
p05921355324,adult,balistes capriscus,0,1992,32.8,-78.78
p05921355324,largejuv,balistes capriscus,1,1992,32.8,-78.78
p05921355324,smalljuv,balistes capriscus,0,1992,32.8,-78.78
p05930057324,adult,balistes capriscus,1,1993,32.34,-79.21
p05930057324,largejuv,balistes capriscus,1,1993,32.34,-79.21
p05930057324,smalljuv,balistes capriscus,0,1993,32.34,-79.21
p05930172324,adult,balistes capriscus,2,1993,32.79,-78.78
p05930172324,largejuv,balistes capriscus,1,1993,32.79,-78.78
p05930172324,smalljuv,balistes capriscus,0,1993,32.79,-78.78
p05930178324,adult,balistes capriscus,0,1993,32.8,-78.78
p05930178324,largejuv,balistes capriscus,1,1993,32.8,-78.78
p05930178324,smalljuv,balistes capriscus,0,1993,32.8,-78.78
p05930374324,adult,balistes capriscus,3,1993,32.25,-79.71
p05930374324,largejuv,balistes capriscus,3,1993,32.25,-79.71
p05930374324,smalljuv,balistes capriscus,0,1993,32.25,-79.71
p05930379324,adult,balistes capriscus,1,1993,32.25,-79.7
p05930379324,largejuv,balistes capriscus,1,1993,32.25,-79.7
p05930379324,smalljuv,balistes capriscus,0,1993,32.25,-79.7
p05950303324,adult,balistes capriscus,6,1995,31.43,-80.34
p05950303324,largejuv,balistes capriscus,5,1995,31.43,-80.34
p05950303324,smalljuv,balistes capriscus,0,1995,31.43,-80.34
p05950316324,adult,balistes capriscus,1,1995,31.39,-80.88
p05950316324,largejuv,balistes capriscus,2,1995,31.39,-80.88
p05950316324,smalljuv,balistes capriscus,0,1995,31.39,-80.88
p05960249324,adult,balistes capriscus,1,1996,31.43,-80.35
p05960249324,largejuv,balistes capriscus,2,1996,31.43,-80.35
p05960249324,smalljuv,balistes capriscus,0,1996,31.43,-80.35
p05960524324,adult,balistes capriscus,0,1996,32.6,-79.23
p05960524324,largejuv,balistes capriscus,3,1996,32.6,-79.23
p05960524324,smalljuv,balistes capriscus,0,1996,32.6,-79.23
p05960532324,adult,balistes capriscus,0,1996,32.33,-79.21
p05960532324,largejuv,balistes capriscus,6,1996,32.33,-79.21
p05960532324,smalljuv,balistes capriscus,0,1996,32.33,-79.21
p05981243324,adult,balistes capriscus,1,1998,31.44,-80.35
p05981243324,largejuv,balistes capriscus,1,1998,31.44,-80.35
p05981243324,smalljuv,balistes capriscus,0,1998,31.44,-80.35
p05060260324,adult,balistes capriscus,1,2006,32.24,-79.7
p05060260324,largejuv,balistes capriscus,1,2006,32.24,-79.7
p05060260324,smalljuv,balistes capriscus,0,2006,32.24,-79.7
t60100333324,adult,balistes capriscus,6,2010,29.94,-80.49
t60100333324,largejuv,balistes capriscus,1,2010,29.94,-80.49
t60100333324,smalljuv,balistes capriscus,0,2010,29.94,-80.49
p05110008324,adult,balistes capriscus,0,2011,32.25,-79.7
p05110008324,largejuv,balistes capriscus,1,2011,32.25,-79.7
p05110008324,smalljuv,balistes capriscus,0,2011,32.25,-79.7
t60153689324,adult,balistes capriscus,2,2015,34.53,-76.4
t60153689324,largejuv,balistes capriscus,1,2015,34.53,-76.4
t60153689324,smalljuv,balistes capriscus,0,2015,34.53,-76.4
p05901107324,adult,balistes capriscus,0,1990,32.24,-79.68
p05901107324,largejuv,balistes capriscus,1,1990,32.24,-79.68
p05901107324,smalljuv,balistes capriscus,0,1990,32.24,-79.68
p05911253324,adult,balistes capriscus,4,1991,31.68,-80.33
p05911253324,largejuv,balistes capriscus,3,1991,31.68,-80.33
p05911253324,smalljuv,balistes capriscus,0,1991,31.68,-80.33
p05911262324,adult,balistes capriscus,0,1991,31.68,-80.34
p05911262324,largejuv,balistes capriscus,2,1991,31.68,-80.34
p05911262324,smalljuv,balistes capriscus,0,1991,31.68,-80.34
p05911306324,adult,balistes capriscus,1,1991,32.25,-79.7
p05911306324,largejuv,balistes capriscus,4,1991,32.25,-79.7
p05911306324,smalljuv,balistes capriscus,0,1991,32.25,-79.7
p05911323324,adult,balistes capriscus,3,1991,32.25,-79.7
p05911323324,largejuv,balistes capriscus,8,1991,32.25,-79.7
p05911323324,smalljuv,balistes capriscus,0,1991,32.25,-79.7
p05911329324,adult,balistes capriscus,2,1991,32.25,-79.7
p05911329324,largejuv,balistes capriscus,2,1991,32.25,-79.7
p05911329324,smalljuv,balistes capriscus,0,1991,32.25,-79.7
p05911367324,adult,balistes capriscus,3,1991,32.59,-79.16
p05911367324,largejuv,balistes capriscus,3,1991,32.59,-79.16
p05911367324,smalljuv,balistes capriscus,0,1991,32.59,-79.16
p05911382324,adult,balistes capriscus,6,1991,32.25,-79.68
p05911382324,largejuv,balistes capriscus,2,1991,32.25,-79.68
p05911382324,smalljuv,balistes capriscus,0,1991,32.25,-79.68
p05911388324,adult,balistes capriscus,3,1991,32.25,-79.69
p05911388324,largejuv,balistes capriscus,5,1991,32.25,-79.69
p05911388324,smalljuv,balistes capriscus,0,1991,32.25,-79.69
p05911390324,adult,balistes capriscus,1,1991,32.25,-79.69
p05911390324,largejuv,balistes capriscus,5,1991,32.25,-79.69
p05911390324,smalljuv,balistes capriscus,0,1991,32.25,-79.69
p05911394324,adult,balistes capriscus,2,1991,32.24,-79.7
p05911394324,largejuv,balistes capriscus,3,1991,32.24,-79.7
p05911394324,smalljuv,balistes capriscus,0,1991,32.24,-79.7
p05911398324,adult,balistes capriscus,3,1991,32.24,-79.71
p05911398324,largejuv,balistes capriscus,3,1991,32.24,-79.71
p05911398324,smalljuv,balistes capriscus,0,1991,32.24,-79.71
p05911422324,adult,balistes capriscus,1,1991,32.79,-78.64
p05911422324,largejuv,balistes capriscus,1,1991,32.79,-78.64
p05911422324,smalljuv,balistes capriscus,0,1991,32.79,-78.64
p05921086324,adult,balistes capriscus,1,1992,32.25,-79.7
p05921086324,largejuv,balistes capriscus,2,1992,32.25,-79.7
p05921086324,smalljuv,balistes capriscus,0,1992,32.25,-79.7
p05921087324,adult,balistes capriscus,1,1992,32.25,-79.71
p05921087324,largejuv,balistes capriscus,1,1992,32.25,-79.71
p05921087324,smalljuv,balistes capriscus,0,1992,32.25,-79.71
p05921201324,adult,balistes capriscus,0,1992,32.79,-78.64
p05921201324,largejuv,balistes capriscus,1,1992,32.79,-78.64
p05921201324,smalljuv,balistes capriscus,0,1992,32.79,-78.64
p05930370324,adult,balistes capriscus,1,1993,32.26,-79.7
