haulid,lengthclass,sppLatin,numlengthclass,year,latitudestart,longitudestart
p05971510324,largejuv,balistes capriscus,1,1997,32.34,-79.21
p05971510324,smalljuv,balistes capriscus,0,1997,32.34,-79.21
p05981271324,adult,balistes capriscus,1,1998,32.79,-78.79
p05981271324,largejuv,balistes capriscus,3,1998,32.79,-78.79
p05981271324,smalljuv,balistes capriscus,0,1998,32.79,-78.79
p05981476324,adult,balistes capriscus,2,1998,27.46,-80.07
p05981476324,largejuv,balistes capriscus,1,1998,27.46,-80.07
p05981476324,smalljuv,balistes capriscus,0,1998,27.46,-80.07
p05981520324,adult,balistes capriscus,0,1998,31.39,-80.89
p05981520324,largejuv,balistes capriscus,1,1998,31.39,-80.89
